Date,Open,High,Low,Close,Volume,Adj Clos
2010-12-31,26.38,26.90,26.28,26.86,1199800,26.8
2010-12-30,26.12,26.58,26.00,26.38,1220700,26.3
2010-12-29,26.30,26.38,25.63,26.38,1107200,26.3
2010-12-28,26.22,26.71,25.43,25.86,1758200,25.8
2010-12-27,27.33,27.85,26.06,26.22,1744900,26.2
2010-12-24,27.00,27.56,26.62,27.28,1507800,27.2
2010-12-23,28.03,28.27,27.11,27.16,2173700,27.1
2010-12-22,28.55,29.06,28.01,28.31,2502600,28.3
2010-12-21,28.25,28.86,28.05,28.64,2495800,28.6
2010-12-20,29.27,29.45,27.60,28.23,5072400,28.2
2010-12-17,29.80,29.81,28.90,29.27,7476500,29.2
2010-12-16,28.38,30.36,28.30,30.36,11635200,30.3
2010-12-15,28.00,28.20,27.50,27.60,1784000,27.6
2010-12-14,27.45,28.40,27.27,28.05,2798600,28.0
2010-12-13,27.51,28.50,27.51,27.75,2928100,27.7
2010-12-10,25.88,27.48,25.65,26.87,2262600,26.8
2010-12-09,26.28,26.63,25.50,25.63,1011000,25.6
2010-12-08,26.45,26.66,26.04,26.45,985700,26.4
2010-12-07,26.64,26.80,25.60,26.53,1195800,26.5
2010-12-06,27.79,27.79,26.50,26.91,1588900,26.9
2010-12-03,27.59,27.68,25.98,26.43,1863100,26.4
2010-12-02,27.69,27.90,27.28,27.39,1419800,27.3
2010-12-01,27.68,28.00,27.15,27.19,1188500,27.1
2010-11-30,28.17,29.21,26.80,27.80,3199800,27.8
2010-11-29,27.92,28.23,27.27,28.23,1673800,28.2
2010-11-26,27.98,28.38,27.76,27.92,2199400,27.9
2010-11-25,28.60,28.73,27.69,28.09,2707800,28.0
2010-11-24,27.88,28.80,27.70,28.50,2814100,28.5
2010-11-23,28.60,28.60,27.21,28.34,3438400,28.3
2010-11-22,29.00,30.30,28.47,28.86,6490400,28.8
2010-11-19,27.85,29.18,27.60,29.04,6338600,29.0
2010-11-18,28.00,28.40,27.01,27.85,6088500,27.8
2010-11-17,25.10,28.17,25.03,27.78,8076500,27.7
2010-11-16,26.50,27.12,25.38,25.61,2324300,25.6
2010-11-15,26.00,26.50,25.70,26.45,1492700,26.4
2010-11-12,27.25,27.90,25.00,25.49,2359200,25.4
2010-11-11,27.69,28.49,27.43,27.45,3014700,27.4
2010-11-10,28.25,28.29,27.65,27.80,2488500,27.8
2010-11-09,27.60,28.48,27.38,28.24,4994200,28.2
2010-11-08,27.02,27.53,26.88,27.49,2792900,27.4
2010-11-05,26.51,27.23,26.51,26.90,2671100,26.9
2010-11-04,25.55,26.55,25.55,26.37,1844600,26.3
2010-11-03,26.40,26.57,25.61,25.68,1692600,25.6
2010-11-02,27.54,27.54,26.20,26.40,4062400,26.4
2010-11-01,26.58,27.80,26.57,27.53,2521200,27.5
2010-10-29,26.70,26.80,26.16,26.56,2052500,26.5
2010-10-28,26.59,26.90,26.30,26.72,1058800,26.7
2010-10-27,27.12,27.48,26.64,26.70,1808100,26.7
2010-10-26,27.88,28.58,26.74,27.09,3775300,27.0
2010-10-25,26.61,27.94,26.61,27.75,3861000,27.7
2010-10-22,25.93,26.19,25.72,26.15,1400500,26.1
2010-10-21,26.00,26.35,25.65,25.93,1140300,25.9
2010-10-20,25.89,26.57,25.41,26.12,2619500,26.1
2010-10-19,24.49,26.05,24.41,26.05,2645600,26.0
2010-10-18,24.40,24.96,23.70,24.48,1521600,24.4
2010-10-15,24.99,25.38,24.52,24.65,1366600,24.6
2010-10-14,25.60,25.70,24.50,24.92,1609600,24.9
2010-10-13,26.00,26.14,25.25,25.70,1814500,25.7
2010-10-12,25.80,26.30,25.77,25.93,1294100,25.9
2010-10-11,26.15,26.43,25.62,25.77,1565700,25.7
2010-10-08,25.22,25.99,25.21,25.92,1534500,25.9
