Date,Open,High,Low,Close,Volume,Adj Clos
2007-12-31,7.11,7.11,7.11,7.11,000,7.1
2007-12-28,6.80,7.12,6.72,7.11,20572100,7.1
2007-12-27,6.72,6.84,6.68,6.78,11199500,6.7
2007-12-26,6.49,6.70,6.40,6.69,12726400,6.6
2007-12-25,6.60,6.62,6.47,6.49,8616400,6.4
2007-12-24,6.54,6.71,6.54,6.58,10668500,6.5
2007-12-21,6.40,6.58,6.39,6.55,7060100,6.5
2007-12-20,6.32,6.51,6.30,6.47,6118400,6.4
2007-12-19,6.25,6.38,6.23,6.36,5771900,6.3
2007-12-18,6.30,6.37,6.15,6.19,7905800,6.1
2007-12-17,6.65,6.65,6.27,6.28,8359000,6.2
2007-12-14,6.48,6.74,6.45,6.60,5192000,6.6
2007-12-13,6.47,6.59,6.44,6.51,8088000,6.5
2007-12-12,6.72,6.73,6.49,6.52,12063800,6.5
2007-12-11,6.80,6.80,6.67,6.74,4349700,6.7
2007-12-10,6.50,6.85,6.44,6.73,9300200,6.7
2007-12-07,6.66,6.72,6.50,6.66,5421200,6.6
2007-12-06,6.69,6.79,6.58,6.68,12327200,6.6
2007-12-05,6.38,6.54,6.26,6.50,6670700,6.5
2007-12-04,6.45,6.58,6.29,6.38,13808300,6.3
2007-12-03,5.96,6.29,5.96,6.29,8115600,6.2
2007-11-30,6.11,6.16,5.98,5.99,3625400,5.9
2007-11-29,6.00,6.09,5.96,6.09,4531900,6.0
2007-11-28,6.05,6.12,5.94,5.95,3584700,5.9
2007-11-27,5.96,6.20,5.95,6.05,5016800,6.0
2007-11-26,6.32,6.39,6.01,6.01,6822300,6.0
2007-11-23,6.21,6.30,6.02,6.26,5106100,6.2
2007-11-22,6.57,6.57,6.30,6.30,6828900,6.3
2007-11-21,6.76,6.85,6.60,6.63,3686100,6.6
2007-11-20,6.61,6.87,6.61,6.76,5009600,6.7
2007-11-19,6.55,6.68,6.52,6.67,3410900,6.6
2007-11-16,6.50,6.75,6.45,6.55,4295000,6.5
2007-11-15,6.68,6.68,6.68,6.68,000,6.6
2007-11-14,6.52,6.73,6.48,6.68,5391900,6.6
2007-11-13,6.47,6.60,6.40,6.48,4025200,6.4
2007-11-12,6.65,6.74,6.40,6.43,6133000,6.4
2007-11-09,6.60,6.76,6.48,6.74,5513200,6.7
2007-11-08,6.84,6.99,6.60,6.62,7114300,6.6
2007-11-07,7.07,7.18,6.80,6.90,6344600,6.9
2007-11-06,7.02,7.23,7.00,7.07,4368400,7.0
2007-11-05,7.00,7.26,6.85,7.02,4978700,7.0
2007-11-02,7.08,7.30,6.93,6.96,7036400,6.9
2007-11-01,7.20,7.50,7.09,7.22,7957200,7.2
2007-10-31,6.98,7.27,6.80,7.27,11552700,7.2
2007-10-30,7.34,7.34,6.79,6.92,8667600,6.9
2007-10-29,6.93,7.01,6.80,7.01,3296700,7.0
2007-10-26,6.58,6.80,6.58,6.68,12507900,6.6
2007-10-25,7.21,7.23,6.93,6.93,9721000,6.9
2007-10-24,7.52,7.60,7.28,7.29,7658300,7.2
2007-10-23,7.65,7.80,7.28,7.54,8276300,7.5
2007-10-22,7.67,7.88,7.61,7.65,8392000,7.6
2007-10-19,7.56,7.80,7.56,7.67,6596400,7.6
2007-10-18,7.75,7.75,7.55,7.56,9151000,7.5
2007-10-17,7.85,7.98,7.62,7.76,8400600,7.7
2007-10-16,7.83,7.99,7.66,7.85,9319900,7.8
2007-10-15,7.89,7.89,7.60,7.85,15303400,7.8
2007-10-12,8.20,8.21,7.81,7.90,23885700,7.9
2007-10-11,8.90,8.90,8.06,8.22,51739100,8.2
2007-10-10,8.28,8.48,8.27,8.48,13532800,8.4
2007-10-09,7.92,8.18,7.80,8.08,18881600,8.0
2007-10-08,8.00,8.05,7.81,7.85,15116600,7.8
2007-10-05,7.87,7.87,7.87,7.87,000,7.8
2007-10-04,7.87,7.87,7.87,7.87,000,7.8
2007-10-03,7.87,7.87,7.87,7.87,000,7.8
2007-10-02,7.87,7.87,7.87,7.87,000,7.8
2007-10-01,7.87,7.87,7.87,7.87,000,7.8
2007-09-28,7.95,7.98,7.82,7.87,11075600,7.8
