Date,Open,High,Low,Close,Volume,Adj Clos
2010-12-31,17.10,17.51,17.10,17.45,2170400,17.4
2010-12-30,17.17,17.21,16.97,17.07,1676200,17.0
2010-12-29,17.25,17.27,16.99,17.06,1541700,17.0
2010-12-28,17.25,17.25,16.97,17.03,1621000,17.0
2010-12-27,17.62,17.89,17.08,17.22,1914000,17.2
2010-12-24,18.00,18.00,17.48,17.60,2129300,17.6
2010-12-23,18.24,18.39,17.97,18.00,1925600,18.0
2010-12-22,18.64,18.70,18.18,18.23,2841300,18.2
2010-12-21,18.51,18.70,18.36,18.68,3283100,18.6
2010-12-20,19.20,19.24,18.16,18.51,2735000,18.5
2010-12-17,19.10,19.19,18.90,19.05,1958600,19.0
2010-12-16,19.33,19.43,19.01,19.10,2247900,19.1
2010-12-15,19.30,19.64,19.10,19.39,4111500,19.3
2010-12-14,19.31,19.52,19.19,19.29,2999800,19.2
2010-12-13,18.95,19.42,18.95,19.38,2413800,19.3
2010-12-10,18.85,19.01,18.68,18.95,1204000,18.9
2010-12-09,19.40,19.40,18.81,18.81,1718000,18.8
2010-12-08,19.52,19.79,19.39,19.43,2649900,19.4
2010-12-07,19.40,19.79,18.95,19.70,3872200,19.7
2010-12-06,19.03,19.58,18.86,19.48,4201700,19.4
2010-12-03,19.00,19.39,18.85,19.03,1463600,19.0
2010-12-02,19.20,19.45,18.91,19.02,2123600,19.0
2010-12-01,18.90,19.17,18.80,19.02,1643700,19.0
2010-11-30,19.56,19.69,18.67,19.00,4524700,19.0
2010-11-29,19.41,19.60,19.25,19.60,2784300,19.6
2010-11-26,19.65,19.65,19.15,19.36,3103700,19.3
2010-11-25,19.58,19.79,19.42,19.66,3285900,19.6
2010-11-24,18.89,19.61,18.79,19.33,3941500,19.3
2010-11-23,19.27,19.50,18.80,18.96,3278500,18.9
2010-11-22,19.20,19.39,19.00,19.20,4259500,19.2
2010-11-19,19.28,19.55,18.73,19.36,3340000,19.3
2010-11-18,19.05,19.88,18.98,19.25,2904000,19.2
2010-11-17,20.00,20.28,18.80,19.11,7760100,19.1
2010-11-16,21.69,21.80,20.39,20.39,6427500,20.3
2010-11-15,21.42,21.74,20.50,21.60,6992500,21.6
2010-11-12,22.10,23.10,20.88,21.47,14642500,21.4
2010-11-11,22.04,22.45,21.90,21.92,9086400,21.9
2010-11-10,22.10,22.40,21.60,22.09,6931800,22.0
2010-11-09,22.57,22.74,21.88,22.14,16386300,22.1
2010-11-08,20.25,22.10,20.25,22.10,19165000,22.1
2010-11-05,20.55,20.65,19.99,20.09,4245800,20.0
2010-11-04,19.85,20.19,19.70,19.97,4067400,19.9
2010-11-03,20.34,20.51,19.70,19.80,4174600,19.8
2010-11-02,21.15,21.35,20.40,20.43,6582200,20.4
2010-11-01,20.00,21.04,20.00,21.04,5621000,21.0
2010-10-29,20.45,20.80,19.90,20.09,5079200,20.0
2010-10-28,20.86,21.33,20.45,20.49,6065300,20.4
2010-10-27,21.26,21.65,20.90,21.00,10085400,21.0
2010-10-26,20.40,21.98,20.40,21.26,12847000,21.2
2010-10-25,19.71,20.55,19.51,20.28,8598500,20.2
2010-10-22,19.45,19.94,19.45,19.55,5078900,19.5
2010-10-21,20.20,20.72,19.65,19.78,8029300,19.7
2010-10-20,19.44,21.11,18.70,20.40,13798300,20.4
2010-10-19,19.80,20.47,19.00,20.00,21892700,20.0
2010-10-18,18.22,18.98,18.20,18.98,10715500,18.9
2010-10-15,17.86,17.86,17.23,17.25,8662000,17.2
2010-10-14,18.32,19.00,17.80,17.86,7342600,17.8
2010-10-13,18.53,18.53,18.20,18.32,4908000,18.3
2010-10-12,18.70,18.83,18.20,18.53,5490200,18.5
2010-10-11,18.23,19.65,18.23,18.53,8437300,18.5
2010-10-08,17.20,18.11,17.08,18.10,6364300,18.1
2010-09-30,16.80,17.15,16.70,17.06,5371600,17.0
2010-09-29,17.75,17.75,16.85,16.93,7839600,16.9
2010-09-28,18.05,18.27,17.74,17.76,5274600,17.7
2010-09-27,17.90,18.34,17.90,18.06,5452800,18.0
2010-09-21,18.07,18.18,17.75,17.86,5743100,17.8
2010-09-20,18.94,19.10,17.70,18.06,7002900,18.0
2010-09-17,19.20,19.37,18.58,18.95,5873200,18.9
2010-09-16,20.61,20.64,19.05,19.39,12401900,19.3
2010-09-15,23.28,23.29,21.17,21.17,14836400,21.1
2010-09-14,22.98,23.78,22.50,23.52,7883200,23.5
2010-09-13,22.90,23.20,22.48,23.00,3384400,23.0
2010-09-10,22.66,23.09,22.08,22.91,3603300,22.9
2010-09-09,23.05,23.68,22.68,22.68,3382700,22.6
2010-09-08,22.99,23.19,22.82,23.10,3103900,23.1
2010-09-07,22.88,23.16,22.51,22.97,2846100,22.9
2010-09-06,22.15,23.19,22.12,22.69,4758700,22.6
2010-09-03,21.70,22.15,21.45,22.14,4877300,22.1
2010-09-02,21.45,21.79,21.37,21.61,3529300,21.6
2010-09-01,20.67,21.87,20.67,21.30,4921600,21.3
2010-08-31,20.45,20.94,20.38,20.88,3368400,20.8
2010-08-30,20.30,20.78,20.16,20.54,4379400,20.5
2010-08-27,20.08,20.29,19.95,20.08,1270800,20.0
2010-08-26,20.02,20.30,19.96,20.15,1566700,20.1
2010-08-25,20.25,20.39,19.98,20.02,1894900,20.0
2010-08-24,20.10,20.38,19.96,20.30,2018800,20.3
