Date,Open,High,Low,Close,Volume,Adj Clos
2009-12-31,39.52,41.28,39.00,40.00,1787500,39.7
2009-12-30,39.91,40.39,39.20,39.50,1894100,39.2
2009-12-29,40.56,40.56,39.41,40.15,1324400,39.9
2009-12-28,39.72,40.31,38.92,40.31,2365800,40.0
2009-12-25,39.73,41.05,39.16,39.55,1462500,39.3
2009-12-23,38.65,39.95,37.40,39.09,3402600,38.8
2009-12-22,35.85,38.96,35.43,38.20,5079200,37.9
2009-12-21,35.29,36.34,34.90,35.78,1764400,35.5
2009-12-18,34.00,35.96,33.71,35.28,2190700,35.0
2009-12-17,34.22,34.49,33.33,34.28,1124400,34.0
2009-12-16,34.67,35.10,34.20,34.23,1486000,34.0
2009-12-15,33.79,34.99,33.55,34.65,851300,34.4
2009-12-14,34.22,34.25,33.05,33.96,734600,33.7
2009-12-11,34.05,34.50,33.80,34.08,749800,33.8
2009-12-10,33.79,34.10,33.20,34.05,977900,33.8
2009-12-09,33.78,34.50,33.30,33.39,1139100,33.1
2009-12-08,34.80,34.86,33.92,34.25,835900,34.0
2009-12-07,34.45,34.80,33.91,34.72,1445400,34.5
2009-12-04,36.45,36.45,33.52,34.48,1859900,34.2
2009-12-03,36.84,36.84,36.11,36.41,783500,36.1
2009-12-02,36.49,37.28,36.30,36.81,787600,36.5
2009-12-01,34.51,36.96,34.12,36.35,1325600,36.1
2009-11-30,33.59,34.87,33.20,34.50,810800,34.2
2009-11-27,34.00,34.20,32.51,33.59,1241900,33.3
2009-11-26,36.58,36.58,34.33,34.49,1647000,34.2
2009-11-25,36.00,36.89,35.05,36.65,1859800,36.4
2009-11-24,36.86,37.90,34.75,36.00,2764600,35.7
2009-11-23,37.01,37.17,36.23,36.91,1092700,36.6
2009-11-20,36.20,38.00,35.88,37.00,1182000,36.7
2009-11-19,35.67,36.40,35.55,36.19,1202700,35.9
2009-11-18,36.40,36.67,35.42,35.71,653000,35.5
2009-11-17,35.42,36.49,35.42,36.00,671600,35.7
