Date,Open,High,Low,Close,Volume,Adj Clos
2011-12-30,6.16,6.32,6.12,6.30,902700,6.3
2011-12-29,6.16,6.18,6.10,6.15,203700,6.1
2011-12-28,6.05,6.15,5.97,6.15,550200,6.1
2011-12-27,6.17,6.29,6.07,6.10,619700,6.1
2011-12-23,6.21,6.37,6.09,6.30,905300,6.3
2011-12-22,6.03,6.33,5.85,6.28,1802100,6.2
2011-12-21,6.25,6.39,6.05,6.07,501300,6.0
2011-12-20,6.07,6.37,6.07,6.18,1421000,6.1
2011-12-19,6.08,6.10,5.98,6.07,410000,6.0
2011-12-16,6.01,6.11,5.91,6.11,678700,6.1
2011-12-15,6.03,6.15,5.81,6.00,801800,6.0
2011-12-14,6.17,6.25,6.03,6.04,262400,6.0
2011-12-13,6.40,6.42,6.12,6.20,481200,6.2
2011-12-12,6.67,6.67,6.11,6.42,610700,6.4
2011-12-09,6.53,6.72,6.53,6.62,714600,6.6
2011-12-08,6.54,6.62,6.40,6.60,662400,6.6
2011-12-07,6.45,6.58,6.45,6.54,606000,6.5
2011-12-06,6.48,6.53,6.40,6.52,446700,6.5
2011-12-05,6.45,6.53,6.37,6.47,780400,6.4
2011-12-02,6.55,6.60,6.38,6.45,638900,6.4
2011-12-01,6.60,6.76,6.51,6.59,1901300,6.5
2011-11-30,6.70,6.75,6.36,6.45,953300,6.4
2011-11-29,6.60,6.76,6.58,6.74,1181200,6.7
2011-11-28,6.75,6.75,6.40,6.58,981000,6.5
2011-11-25,6.84,6.87,6.68,6.72,845800,6.7
2011-11-24,6.72,6.98,6.68,6.81,1006200,6.8
2011-11-23,6.89,6.89,6.77,6.80,429500,6.8
2011-11-22,6.76,6.86,6.73,6.85,539000,6.8
2011-11-21,6.88,6.92,6.73,6.83,724200,6.8
2011-11-18,7.04,7.07,6.84,6.86,754700,6.8
2011-11-17,7.07,7.14,7.00,7.08,908000,7.0
2011-11-16,7.23,7.29,7.02,7.06,1062000,7.0
2011-11-15,7.19,7.27,7.18,7.25,1015300,7.2
2011-11-14,7.13,7.25,7.13,7.22,1169600,7.2
2011-11-11,7.16,7.20,7.09,7.12,791000,7.1
2011-11-10,7.27,7.28,7.10,7.16,1376500,7.1
2011-11-09,7.42,7.42,7.21,7.39,1038300,7.3
2011-11-08,7.36,7.45,7.33,7.40,800800,7.4
2011-11-07,7.47,7.50,7.36,7.43,802400,7.4
2011-11-04,7.47,7.50,7.37,7.46,936800,7.4
2011-11-03,7.23,7.48,7.23,7.45,3135700,7.4
2011-11-02,7.07,7.24,7.02,7.24,1388000,7.2
2011-11-01,7.11,7.34,7.10,7.17,1326500,7.1
2011-10-31,7.26,7.29,7.18,7.26,1021700,7.2
2011-10-28,7.21,7.55,7.21,7.35,2897800,7.3
2011-10-27,7.10,7.23,7.06,7.15,599500,7.1
2011-10-26,7.02,7.22,6.98,7.13,901900,7.1
2011-10-25,6.84,7.06,6.84,7.05,805800,7.0
2011-10-24,6.81,6.90,6.71,6.88,511200,6.8
2011-10-21,6.80,6.89,6.71,6.81,447500,6.8
2011-10-20,7.05,7.09,6.76,6.81,885300,6.8
2011-10-19,7.30,7.30,7.08,7.09,512300,7.0
2011-10-18,7.45,7.45,7.14,7.20,553900,7.2
2011-10-17,7.45,7.50,7.37,7.45,812800,7.4
2011-10-14,7.39,7.45,7.28,7.45,830400,7.4
2011-10-13,7.25,7.48,7.25,7.38,1080100,7.3
2011-10-12,6.90,7.67,6.88,7.35,1212700,7.3
2011-10-11,7.47,7.47,6.92,6.97,669000,6.9
2011-10-10,7.12,7.16,6.86,6.91,726500,6.9
2011-09-29,7.15,7.30,7.07,7.07,967000,7.0
2011-09-28,7.25,7.35,7.16,7.19,445700,7.1
2011-09-27,7.44,7.44,7.18,7.32,861400,7.3
2011-09-26,7.49,7.50,7.27,7.37,659800,7.3
2011-09-23,7.30,7.57,7.29,7.48,1524400,7.4
2011-09-22,7.54,7.62,7.38,7.45,1257000,7.4
2011-09-21,7.41,7.65,7.35,7.64,1284000,7.6
2011-09-20,7.39,7.42,7.31,7.41,764800,7.4
2011-09-19,7.56,7.56,7.36,7.39,764800,7.3
2011-09-16,7.72,7.85,7.55,7.55,908300,7.5
2011-09-15,7.72,7.77,7.66,7.70,461500,7.7
2011-09-14,7.62,7.82,7.51,7.70,643900,7.7
2011-09-13,7.68,7.68,7.51,7.62,591100,7.6
2011-09-09,7.80,7.82,7.69,7.73,496300,7.7
2011-09-08,7.91,7.91,7.77,7.77,433300,7.7
2011-09-07,7.75,7.88,7.73,7.87,434700,7.8
2011-09-06,7.73,7.80,7.66,7.70,361700,7.7
2011-09-05,7.91,7.96,7.73,7.73,759400,7.7
2011-09-02,8.10,8.17,8.01,8.03,770000,8.0
2011-09-01,8.23,8.23,8.10,8.14,716200,8.1
2011-08-31,8.15,8.28,8.13,8.19,736900,8.1
2011-08-30,8.17,8.28,8.08,8.17,870800,8.1
2011-08-29,8.30,8.30,8.11,8.15,947900,8.1
2011-08-26,8.38,8.41,8.26,8.32,1055300,8.3
2011-08-25,8.26,8.40,8.18,8.36,1660300,8.3
2011-08-24,8.27,8.40,8.18,8.19,864500,8.1
2011-08-23,8.19,8.27,8.10,8.24,863600,8.2
2011-08-22,8.20,8.32,8.09,8.15,1196400,8.1
2011-08-19,8.15,8.29,8.09,8.20,1072500,8.2
2011-08-18,8.46,8.53,8.21,8.31,1905900,8.3
2011-08-17,8.36,8.70,8.31,8.45,5911100,8.4
2011-08-16,8.45,8.47,8.23,8.41,2002500,8.4
2011-08-15,8.10,8.54,8.01,8.42,4523700,8.4
2011-08-12,7.94,8.14,7.78,8.11,3296200,8.1
2011-08-11,7.39,7.95,7.31,7.87,2540700,7.8
2011-08-10,7.46,7.73,7.44,7.57,2255600,7.5
2011-08-09,7.28,7.44,7.08,7.37,1603600,7.3
2011-08-08,7.75,7.75,7.15,7.40,1664900,7.4
2011-08-05,7.90,7.94,7.70,7.80,913900,7.8
2011-08-04,7.96,8.10,7.96,8.06,920300,8.0
