Date,Open,High,Low,Close,Volume,Adj Clos
2004-12-31,2.94,2.96,2.83,2.84,545900,2.8
2004-12-30,3.00,3.04,2.91,2.94,389200,2.9
2004-12-29,2.98,3.00,2.94,3.00,288300,3.0
2004-12-28,3.04,3.05,2.95,2.98,576400,2.9
2004-12-27,2.93,3.08,2.90,3.05,1008200,3.0
2004-12-24,2.96,2.97,2.91,2.93,397600,2.9
2004-12-23,3.02,3.05,2.94,2.96,599600,2.9
2004-12-22,3.01,3.05,2.96,3.04,1144200,3.0
2004-12-21,2.92,2.99,2.86,2.99,1529700,2.9
2004-12-20,2.86,2.92,2.81,2.85,424400,2.8
2004-12-17,2.86,2.92,2.78,2.91,865200,2.9
2004-12-16,3.02,3.03,2.88,2.88,2138700,2.8
2004-12-15,3.08,3.10,3.00,3.03,700200,3.0
2004-12-14,3.10,3.15,3.07,3.11,508100,3.1
2004-12-13,3.15,3.15,3.03,3.10,2250100,3.1
2004-12-10,3.33,3.36,3.19,3.19,1157400,3.1
2004-12-09,3.40,3.44,3.33,3.36,825300,3.3
2004-12-08,3.30,3.39,3.30,3.35,591000,3.3
2004-12-07,3.46,3.46,3.30,3.31,621700,3.3
2004-12-06,3.41,3.46,3.36,3.46,690800,3.4
2004-12-03,3.40,3.47,3.37,3.42,830400,3.4
2004-12-02,3.33,3.40,3.30,3.40,586800,3.4
2004-12-01,3.31,3.35,3.28,3.34,378700,3.3
2004-11-30,3.35,3.37,3.26,3.34,466000,3.3
2004-11-29,3.31,3.43,3.31,3.34,954500,3.3
2004-11-26,3.29,3.36,3.25,3.31,725300,3.3
2004-11-25,3.23,3.33,3.21,3.29,1188800,3.2
2004-11-24,3.54,3.54,3.37,3.37,1753700,3.3
2004-11-23,3.53,3.69,3.48,3.55,1534000,3.5
2004-11-22,3.50,3.53,3.46,3.52,965200,3.5
2004-11-19,3.50,3.59,3.46,3.50,3188600,3.5
2004-11-18,3.40,3.49,3.40,3.49,3181800,3.4
2004-11-17,3.39,3.39,3.30,3.32,963900,3.3
2004-11-16,3.40,3.40,3.31,3.33,749800,3.3
2004-11-15,3.44,3.44,3.28,3.39,1468500,3.3
2004-11-12,3.23,3.39,3.20,3.39,4105100,3.3
2004-11-11,3.29,3.39,3.22,3.23,1868800,3.2
2004-11-10,3.07,3.24,3.07,3.23,2072800,3.2
2004-11-09,3.04,3.14,3.04,3.09,692800,3.0
2004-11-08,3.00,3.04,2.96,3.04,647700,3.0
2004-11-05,3.08,3.08,2.99,3.01,840500,3.0
2004-11-04,3.14,3.16,3.01,3.03,994200,3.0
2004-11-03,3.14,3.19,3.00,3.12,2718300,3.1
2004-11-02,3.37,3.38,3.16,3.16,911800,3.1
2004-11-01,3.27,3.38,3.20,3.33,1549800,3.3
2004-10-29,3.20,3.35,3.11,3.33,3186100,3.3
2004-10-28,3.25,3.28,3.19,3.27,1889100,3.2
2004-10-27,3.12,3.24,3.07,3.22,2030800,3.2
2004-10-26,3.15,3.15,3.12,3.12,2374600,3.1
2004-10-25,3.40,3.50,3.28,3.28,1538900,3.2
2004-10-22,3.60,3.60,3.45,3.45,1371400,3.4
2004-10-21,3.55,3.65,3.50,3.63,669400,3.6
2004-10-20,3.58,3.60,3.50,3.54,462400,3.5
2004-10-19,3.79,3.80,3.58,3.60,562800,3.6
2004-10-18,3.64,3.77,3.60,3.73,444100,3.7
2004-10-15,3.61,3.70,3.55,3.64,501600,3.6
2004-10-14,3.87,3.87,3.65,3.65,905400,3.6
2004-10-13,3.80,3.87,3.80,3.84,490600,3.8
2004-10-12,3.94,3.94,3.81,3.83,425600,3.8
2004-10-11,4.00,4.03,3.92,3.94,679300,3.9
2004-10-08,3.82,3.98,3.76,3.98,396000,3.9
2004-10-07,3.83,3.83,3.83,3.83,000,3.8
2004-10-06,3.83,3.83,3.83,3.83,000,3.8
2004-10-05,3.83,3.83,3.83,3.83,000,3.8
2004-10-04,3.83,3.83,3.83,3.83,000,3.8
2004-10-01,3.83,3.83,3.83,3.83,000,3.8
2004-09-30,3.83,3.87,3.80,3.83,427900,3.8
2004-09-29,3.89,3.93,3.82,3.85,460800,3.8
2004-09-28,3.85,3.95,3.84,3.90,470000,3.9
2004-09-27,4.01,4.10,3.88,3.90,1005100,3.9
2004-09-24,4.12,4.18,4.03,4.08,2093600,4.0
2004-09-23,4.05,4.13,3.97,4.05,3212900,4.0
2004-09-22,3.96,4.16,3.96,4.05,1694900,4.0
2004-09-21,4.28,4.29,4.15,4.16,1615800,4.1
2004-09-20,4.18,4.34,3.98,4.34,5066900,4.3
2004-09-17,3.96,4.14,3.89,4.13,1705800,4.1
2004-09-16,3.77,3.96,3.77,3.96,3783400,3.9
2004-09-15,3.62,3.77,3.60,3.77,961600,3.7
2004-09-14,3.44,3.63,3.44,3.59,717000,3.5
2004-09-13,3.60,3.63,3.46,3.46,314200,3.4
2004-09-10,3.55,3.65,3.53,3.64,139100,3.6
2004-09-09,3.70,3.70,3.58,3.59,316900,3.5
2004-09-08,3.73,3.75,3.69,3.70,197100,3.7
2004-09-07,3.73,3.75,3.68,3.73,226100,3.7
2004-09-06,3.72,3.75,3.69,3.72,191300,3.7
2004-09-03,3.72,3.76,3.70,3.74,302000,3.7
2004-09-02,3.69,3.73,3.67,3.73,412500,3.7
2004-09-01,3.72,3.72,3.63,3.67,158900,3.6
2004-08-31,3.74,3.82,3.68,3.74,847800,3.7
2004-08-30,3.76,3.76,3.65,3.69,188000,3.6
2004-08-27,3.65,3.66,3.58,3.65,264700,3.6
2004-08-26,3.64,3.72,3.60,3.68,321000,3.6
2004-08-25,3.70,3.70,3.61,3.64,252300,3.6
2004-08-24,3.57,3.71,3.57,3.70,414400,3.7
2004-08-23,3.68,3.68,3.52,3.60,281700,3.6
2004-08-20,3.70,3.76,3.58,3.64,899100,3.6
2004-08-19,3.97,3.97,3.76,3.77,613300,3.7
2004-08-18,3.97,4.03,3.94,3.96,444700,3.9
2004-08-17,3.96,3.99,3.91,3.97,309700,3.9
2004-08-16,3.99,4.09,3.88,3.96,422400,3.9
2004-08-13,3.93,3.99,3.89,3.98,326200,3.9
2004-08-12,3.90,3.96,3.85,3.94,490600,3.9
2004-08-11,4.06,4.07,3.95,3.98,377000,3.9
2004-08-10,4.08,4.08,4.01,4.02,370400,4.0
2004-08-09,4.11,4.12,4.01,4.07,446200,4.0
2004-08-06,4.05,4.15,4.00,4.09,702100,4.0
2004-08-05,4.10,4.10,4.01,4.06,528300,4.0
2004-08-04,4.00,4.18,3.96,4.10,854800,4.1
2004-08-03,3.90,4.02,3.86,4.00,725300,4.0
2004-08-02,4.11,4.11,3.94,3.94,1391300,3.9
2004-07-30,4.20,4.24,4.15,4.15,377900,4.1
2004-07-29,4.18,4.27,4.16,4.23,705500,4.2
2004-07-28,4.19,4.25,4.10,4.23,779100,4.2
2004-07-27,4.30,4.34,4.17,4.22,1236700,4.2
2004-07-26,4.25,4.39,4.10,4.35,1428000,4.3
2004-07-23,4.21,4.29,4.21,4.26,3094500,4.2
2004-07-22,4.55,4.58,4.41,4.43,1286400,4.4
2004-07-21,4.53,4.60,4.48,4.55,1339900,4.5
2004-07-20,4.52,4.56,4.41,4.54,1473700,4.5
2004-07-19,4.50,4.55,4.47,4.52,1474600,4.5
2004-07-16,4.39,4.57,4.33,4.54,4806900,4.5
2004-07-15,4.43,4.45,4.31,4.40,803700,4.4
2004-07-14,4.40,4.47,4.34,4.42,1837000,4.4
