Date,Open,High,Low,Close,Volume,Adj Clos
2007-10-12,16.41,16.94,15.58,15.58,4774000,15.5
2007-10-11,16.36,16.70,15.76,16.40,3929900,16.4
2007-10-10,16.51,17.10,15.88,16.13,2630400,16.1
2007-10-09,17.19,17.60,16.40,16.40,3202900,16.4
2007-10-08,18.17,18.17,17.18,17.26,3948800,17.2
2007-09-28,16.68,17.45,16.33,17.30,2250900,17.3
2007-09-27,17.60,17.60,16.61,16.62,1270300,16.6
2007-09-26,17.18,17.83,16.92,17.45,2020500,17.4
2007-09-25,16.18,16.98,15.80,16.98,2172100,16.9
2007-09-24,15.88,16.53,15.60,16.17,1469700,16.1
2007-09-21,14.98,15.75,14.90,15.75,3420700,15.7
2007-09-20,14.82,15.10,14.58,14.80,1196900,14.8
2007-09-19,14.97,15.28,14.30,14.82,1332200,14.8
2007-09-18,15.35,15.35,14.42,14.74,2281900,14.7
2007-09-17,15.15,15.36,15.00,15.16,1474100,15.1
2007-09-14,14.82,15.35,14.70,15.15,1543300,15.1
2007-09-13,14.50,15.02,14.18,14.87,1882600,14.8
2007-09-12,15.08,15.34,14.06,14.52,2643600,14.5
2007-09-11,15.40,16.08,14.80,14.80,2549600,14.8
2007-09-10,15.48,15.50,14.54,15.38,4080100,15.3
2007-09-07,16.93,16.93,15.31,15.31,8756900,15.3
2007-09-06,16.12,16.12,16.12,16.12,48000,16.1
2007-09-03,15.20,15.44,14.85,15.35,3614300,15.3
2007-08-31,14.11,14.70,14.01,14.70,3306600,14.7
2007-08-30,13.60,14.12,13.22,14.00,1903700,14.0
2007-08-29,13.07,13.70,12.88,13.45,2279800,13.4
2007-08-28,12.45,13.13,12.30,13.05,2570900,13.0
2007-08-27,13.15,13.16,12.50,12.50,1839400,12.5
2007-08-24,13.00,13.50,12.81,13.16,1983500,13.1
2007-08-23,12.69,12.96,12.40,12.87,2499700,12.8
2007-08-22,12.78,12.98,12.40,12.78,4498200,12.7
2007-08-21,12.36,12.36,12.01,12.36,962700,12.3
2007-08-20,11.70,11.80,11.05,11.77,1673700,11.7
2007-08-17,12.05,12.05,11.58,11.58,1383100,11.5
2007-08-16,11.67,12.05,11.41,11.73,1772500,11.7
2007-08-15,11.68,11.84,11.36,11.61,1093700,11.6
2007-08-14,11.55,11.98,11.30,11.68,1842300,11.6
2007-08-10,11.37,11.56,10.80,11.10,2222500,11.1
2007-08-09,11.52,11.88,11.28,11.37,2021600,11.3
2007-08-08,10.55,11.39,10.55,11.39,3215100,11.3
2007-08-07,11.29,11.29,10.85,10.85,4421500,10.8
2007-08-06,10.82,11.85,10.82,11.42,5879500,11.4
2007-08-03,11.39,11.39,11.39,11.39,431800,11.3
2007-08-02,11.99,11.99,11.99,11.99,168800,11.9
2007-08-01,12.62,12.62,12.62,12.62,530500,12.6
2007-07-30,12.75,13.28,12.62,13.28,2920000,13.2
2007-07-27,12.01,12.65,12.01,12.65,3095100,12.6
2007-07-26,12.26,12.47,11.93,12.05,1568200,12.0
2007-07-25,11.85,12.30,11.85,12.20,1587000,12.2
2007-07-24,12.15,12.59,11.90,11.90,1935200,11.9
2007-07-23,11.60,12.18,11.41,12.18,2729400,12.1
2007-07-20,11.45,11.88,11.40,11.60,2188900,11.6
2007-07-19,11.41,11.55,11.18,11.35,993600,11.3
2007-07-18,11.36,11.90,11.25,11.41,1278200,11.4
2007-07-17,11.12,12.05,11.00,11.36,2384200,11.3
2007-07-13,11.92,11.92,10.94,10.94,4003300,10.9
2007-07-12,11.49,11.52,11.49,11.52,518400,11.5
2007-07-11,10.85,10.97,10.45,10.97,1079600,10.9
2007-07-10,10.20,10.45,10.05,10.45,2316200,10.4
2007-07-09,9.70,9.95,9.34,9.95,2043100,9.9
2007-07-06,9.11,9.65,8.90,9.48,2282800,9.4
2007-07-05,8.76,9.68,8.76,9.36,4180900,9.3
2007-07-04,9.22,9.34,9.22,9.22,978100,9.2
2007-07-03,10.00,10.19,9.70,9.70,1028700,9.7
2007-07-02,10.75,10.95,10.21,10.21,2054700,10.2
2007-06-29,10.63,11.49,10.50,10.75,2898600,10.7
2007-06-28,11.47,11.47,10.98,10.98,2628500,10.9
2007-06-27,10.70,11.82,10.70,11.56,4179100,11.5
2007-06-26,11.66,11.70,11.26,11.26,913800,11.2
2007-06-25,11.65,11.85,11.30,11.85,5494400,11.8
2007-06-22,10.85,11.29,10.66,11.29,4130900,11.2
2007-06-21,10.60,10.99,10.40,10.75,1871000,10.7
2007-06-20,10.90,11.30,10.50,10.53,2539600,10.5
2007-06-19,10.63,11.05,10.36,10.91,2256300,10.9
2007-06-18,10.50,10.68,10.22,10.63,2716800,10.6
2007-06-15,10.54,10.70,10.17,10.17,2729600,10.1
2007-06-14,10.79,11.13,10.54,10.70,2433600,10.7
2007-06-13,10.18,10.78,10.18,10.78,3309000,10.7
2007-06-12,10.80,10.83,10.26,10.27,3736100,10.2
2007-06-11,11.51,11.77,10.74,10.80,3365900,10.8
2007-06-08,10.90,11.55,10.82,11.31,4365400,11.3
2007-06-07,10.22,11.18,10.21,11.00,5014300,11.0
2007-06-06,10.75,11.57,10.75,10.75,4921900,10.7
2007-06-05,11.32,11.32,11.32,11.32,41800,11.3
2007-06-04,11.92,11.92,11.92,11.92,64500,11.9
2007-05-31,13.21,13.21,13.21,13.21,611400,13.2
2007-05-30,13.91,14.60,13.91,13.91,2188400,13.9
2007-05-29,14.42,15.10,14.32,14.64,2373600,14.6
2007-05-28,14.73,15.11,14.21,14.42,3210000,14.4
2007-05-25,13.76,14.45,13.76,14.45,1449500,14.4
2007-05-24,14.06,14.30,13.68,13.76,4764700,13.7
2007-05-23,14.62,14.62,14.20,14.40,5408200,14.4
2007-05-22,13.92,13.92,13.92,13.92,407500,13.9
