Date,Open,High,Low,Close,Volume,Adj Clos
2012-01-20,5.54,5.56,5.47,5.51,432300,5.5
2012-01-19,5.45,5.55,5.35,5.46,406500,5.4
2012-01-18,5.49,5.58,5.38,5.41,727400,5.4
2012-01-17,5.21,5.58,5.13,5.54,1019900,5.5
2012-01-13,5.52,5.52,5.27,5.33,1052200,5.3
2012-01-12,5.53,5.89,5.47,5.51,1503900,5.5
2012-01-11,5.48,5.58,5.40,5.50,1030300,5.5
2012-01-10,5.21,5.68,5.18,5.51,1437000,5.5
2012-01-09,5.18,5.23,4.98,5.21,997700,5.2
2012-01-06,5.01,5.06,4.79,4.97,800200,4.9
2012-01-05,5.25,5.45,5.00,5.08,777800,5.0
2012-01-04,5.30,5.35,5.15,5.16,418900,5.1
