Date,Open,High,Low,Close,Volume,Adj Clos
2008-12-31,13.01,13.35,12.82,12.91,1066300,12.4
2008-12-30,12.80,13.40,12.62,13.15,2279100,12.6
2008-12-29,12.32,12.78,11.91,12.66,1252600,12.2
2008-12-26,12.20,12.60,12.08,12.49,1265600,12.0
2008-12-25,11.78,12.40,11.71,12.02,752100,11.6
2008-12-24,11.68,12.04,11.65,11.80,896300,11.3
2008-12-23,13.18,13.18,11.90,11.90,1709600,11.4
2008-12-22,12.50,13.47,12.39,13.20,2012300,12.7
2008-12-19,12.33,12.69,12.28,12.44,1076800,12.0
2008-12-18,12.25,12.45,12.03,12.34,614100,11.9
2008-12-17,11.69,12.34,11.63,12.13,1074200,11.7
2008-12-16,11.22,11.65,10.85,11.64,747100,11.2
2008-12-15,11.27,11.50,11.13,11.37,494200,10.9
2008-12-12,11.72,11.97,11.06,11.20,869800,10.8
2008-12-11,12.71,12.75,11.90,11.99,859800,11.5
2008-12-10,12.08,12.83,12.08,12.72,862600,12.2
2008-12-09,12.60,12.80,12.15,12.25,1305200,11.8
2008-12-08,12.54,12.97,12.53,12.79,1226900,12.3
2008-12-05,12.28,12.45,12.06,12.40,941200,11.9
2008-12-04,12.20,12.64,12.16,12.32,2443000,11.8
2008-12-03,12.00,12.27,11.76,12.20,1874100,11.7
2008-12-02,11.03,11.97,11.03,11.85,1716100,11.4
2008-12-01,10.69,11.51,10.30,11.38,2703300,10.9
2008-11-28,10.29,10.66,10.00,10.66,1019300,10.2
2008-11-27,11.05,11.10,10.36,10.50,2074200,10.1
2008-11-26,10.12,10.40,9.99,10.20,501700,9.8
2008-11-25,10.71,10.98,9.58,10.30,1659900,9.9
2008-11-24,11.30,11.35,10.50,10.53,643400,10.1
2008-11-21,10.95,11.30,10.30,11.30,1525900,10.9
2008-11-20,10.98,11.66,10.68,11.14,2294900,10.7
2008-11-19,9.99,11.01,9.99,11.01,1329400,10.6
2008-11-18,10.70,10.90,10.01,10.01,1796600,9.6
2008-11-17,10.00,11.00,9.93,10.90,1521100,10.5
