Date,Open,High,Low,Close,Volume,Adj Clos
2006-12-29,2.25,2.32,2.21,2.30,3724300,2.3
2006-12-28,2.38,2.39,2.32,2.32,6147300,2.3
2006-12-27,2.49,2.53,2.44,2.44,3388900,2.4
2006-12-26,2.64,2.66,2.53,2.57,4022600,2.5
2006-12-25,2.55,2.68,2.49,2.66,6041100,2.6
2006-12-22,2.64,2.68,2.56,2.56,10073000,2.5
2006-12-21,2.44,2.57,2.41,2.57,7500600,2.5
2006-12-20,2.46,2.49,2.39,2.45,3764100,2.4
2006-12-19,2.36,2.48,2.34,2.45,6163100,2.4
2006-12-18,2.37,2.41,2.35,2.36,2542800,2.3
2006-12-15,2.38,2.39,2.36,2.37,2545600,2.3
2006-12-14,2.39,2.42,2.37,2.40,1682600,2.4
2006-12-13,2.44,2.46,2.39,2.40,2102200,2.4
2006-12-12,2.37,2.48,2.37,2.45,4520100,2.4
2006-12-11,2.35,2.40,2.34,2.38,1999700,2.3
2006-12-08,2.43,2.45,2.37,2.39,2888900,2.3
2006-12-07,2.48,2.53,2.43,2.45,3359700,2.4
2006-12-06,2.40,2.53,2.40,2.50,6689600,2.5
2006-12-05,2.39,2.42,2.33,2.42,3758800,2.4
2006-12-04,2.39,2.43,2.35,2.39,2983100,2.3
2006-12-01,2.45,2.46,2.35,2.42,3460500,2.4
2006-11-30,2.42,2.47,2.41,2.45,2102400,2.4
2006-11-29,2.44,2.46,2.39,2.43,1843400,2.4
2006-11-28,2.44,2.47,2.40,2.44,1527300,2.4
2006-11-27,2.40,2.47,2.37,2.45,1805000,2.4
2006-11-24,2.37,2.44,2.37,2.42,1567900,2.4
2006-11-23,2.38,2.42,2.37,2.40,2891900,2.4
2006-11-22,2.30,2.42,2.29,2.38,2343500,2.3
2006-11-21,2.30,2.34,2.26,2.31,1726300,2.3
2006-11-20,2.37,2.43,2.30,2.31,1903600,2.3
2006-11-17,2.35,2.42,2.35,2.37,1821900,2.3
2006-11-16,2.31,2.40,2.31,2.38,2972400,2.3
2006-11-15,2.30,2.35,2.25,2.32,1941200,2.3
2006-11-14,2.35,2.35,2.22,2.31,2362000,2.3
2006-11-13,2.37,2.40,2.32,2.34,1512300,2.3
2006-11-10,2.46,2.46,2.34,2.38,1928900,2.3
2006-11-09,2.43,2.50,2.42,2.46,2268800,2.4
2006-11-08,2.31,2.46,2.31,2.45,3632500,2.4
2006-11-07,2.44,2.45,2.34,2.34,4195600,2.3
2006-11-06,2.50,2.52,2.45,2.46,1952900,2.4
2006-11-03,2.49,2.56,2.48,2.53,2997600,2.5
2006-11-02,2.56,2.56,2.41,2.48,4401700,2.4
2006-11-01,2.53,2.59,2.51,2.54,1744000,2.5
2006-10-31,2.52,2.55,2.47,2.54,1795000,2.5
2006-10-30,2.55,2.55,2.48,2.52,3601600,2.5
2006-10-27,2.70,2.70,2.61,2.61,1847300,2.6
2006-10-26,2.71,2.76,2.68,2.70,2146900,2.7
2006-10-25,2.75,2.79,2.61,2.69,2725800,2.6
2006-10-24,2.64,2.77,2.63,2.75,2657300,2.7
2006-10-23,2.80,2.82,2.69,2.69,3664500,2.6
2006-10-20,2.99,2.99,2.83,2.83,5590400,2.8
2006-10-19,3.01,3.01,2.96,2.98,2734500,2.9
2006-10-18,2.98,3.03,2.96,3.00,2585900,3.0
2006-10-17,2.98,3.05,2.93,2.96,3608000,2.9
2006-10-16,3.00,3.07,2.98,3.00,4085100,3.0
2006-10-13,2.91,3.03,2.90,3.02,8398900,3.0
2006-10-12,2.90,2.95,2.87,2.89,3084400,2.8
2006-10-11,2.93,2.94,2.88,2.92,1953200,2.9
2006-10-10,2.86,2.94,2.85,2.94,4176800,2.9
2006-10-09,2.89,2.92,2.84,2.88,1967900,2.8
2006-10-06,2.88,2.88,2.88,2.88,000,2.8
2006-10-05,2.88,2.88,2.88,2.88,000,2.8
2006-10-04,2.88,2.88,2.88,2.88,000,2.8
2006-10-03,2.88,2.88,2.88,2.88,000,2.8
2006-10-02,2.88,2.88,2.88,2.88,000,2.8
2006-09-29,2.90,2.91,2.81,2.88,4032000,2.8
2006-09-28,2.86,3.00,2.86,2.89,4021300,2.8
2006-09-27,2.80,2.92,2.80,2.87,4600900,2.8
2006-09-26,2.83,2.86,2.74,2.78,2964400,2.7
2006-09-25,2.85,2.92,2.79,2.82,3561400,2.8
