Date,Open,High,Low,Close,Volume,Adj Clos
2008-12-31,8.21,8.25,8.01,8.20,2977800,8.0
2008-12-30,8.01,8.20,7.95,8.19,2909000,7.9
2008-12-29,8.07,8.19,7.85,8.06,3073900,7.8
2008-12-26,8.30,8.48,8.19,8.24,3619400,8.0
2008-12-25,8.22,8.40,8.06,8.13,3247600,7.9
2008-12-24,8.51,8.69,8.14,8.22,5572000,8.0
2008-12-23,9.65,9.65,8.70,8.70,7083400,8.4
2008-12-22,9.57,9.75,9.30,9.45,5908700,9.2
2008-12-19,9.39,9.75,9.33,9.55,7990500,9.3
2008-12-18,9.24,9.55,8.95,9.47,7821400,9.2
2008-12-17,9.25,9.48,9.15,9.20,6026300,8.9
2008-12-16,9.05,9.28,8.61,9.27,5987100,9.0
2008-12-15,9.10,9.25,8.70,9.05,5439000,8.8
2008-12-12,9.88,10.00,8.96,8.99,10434700,8.7
2008-12-11,10.32,10.62,9.91,9.96,11238500,9.7
2008-12-10,10.08,10.37,9.75,10.25,10884500,10.0
2008-12-09,10.40,10.73,10.10,10.20,14007200,9.9
2008-12-08,10.13,10.40,10.00,10.35,12162500,10.1
2008-12-05,9.62,10.15,9.61,9.98,10640900,9.7
2008-12-04,10.08,10.60,9.74,9.78,24473600,9.5
2008-12-03,9.19,10.05,9.14,9.97,17676200,9.7
2008-12-02,8.55,9.26,8.47,9.14,10506500,8.9
2008-12-01,8.45,8.96,8.30,8.89,8463900,8.6
2008-11-28,9.00,9.19,8.40,8.68,9124700,8.4
2008-11-27,9.69,9.97,8.19,9.13,15351400,8.9
2008-11-26,8.68,9.38,8.45,9.10,12027800,8.8
2008-11-25,8.86,8.94,8.37,8.75,7651600,8.5
2008-11-24,9.25,9.43,8.60,8.60,9546500,8.3
2008-11-21,8.65,9.60,8.38,9.28,14518200,9.0
2008-11-20,9.30,9.56,8.91,9.03,12481200,8.8
2008-11-19,8.97,9.86,8.65,9.72,16592700,9.4
2008-11-18,10.22,10.26,9.39,9.39,16282500,9.1
2008-11-17,9.95,10.48,9.68,10.43,18116300,10.1
2008-11-14,9.80,10.30,9.72,10.08,18245300,9.8
2008-11-13,9.50,10.20,9.33,9.90,22215500,9.6
2008-11-12,8.40,9.31,8.30,9.31,19755700,9.0
2008-11-11,8.90,8.97,8.42,8.46,20279900,8.2
2008-11-07,8.03,8.57,7.95,8.19,13021600,7.9
2008-11-06,8.10,8.29,7.91,8.03,11589000,7.8
2008-11-05,8.00,8.60,7.92,8.35,18002500,8.1
2008-11-04,7.70,8.15,7.48,8.00,14904500,7.8
2008-11-03,8.01,8.39,7.80,7.94,16942200,7.7
2008-10-31,7.85,8.37,7.47,8.17,17246700,7.9
2008-10-30,7.66,8.20,7.65,7.85,17035800,7.6
2008-10-29,7.74,8.46,7.56,7.78,23766600,7.5
2008-10-28,7.70,7.79,6.95,7.72,23390000,7.5
2008-10-27,7.72,7.72,7.51,7.72,33512500,7.5
2008-10-24,7.02,7.02,7.02,7.02,2751300,6.8
2008-10-23,5.88,6.43,5.78,6.38,5411800,6.2
2008-10-22,6.33,6.53,6.10,6.14,5375500,5.9
2008-10-21,6.49,6.85,6.36,6.53,9022200,6.3
2008-10-20,6.06,6.55,5.91,6.49,4588400,6.3
2008-10-17,6.12,6.22,6.04,6.17,3116100,6.0
2008-10-16,6.05,6.19,6.00,6.00,5772700,5.8
2008-10-15,6.60,6.66,6.23,6.40,5081300,6.2
2008-10-14,7.40,7.41,6.61,6.61,6378700,6.4
2008-10-13,7.03,7.09,6.38,7.09,6075700,6.9
2008-10-10,7.50,7.50,7.02,7.08,6493400,6.9
2008-10-09,8.30,8.32,7.70,7.80,5000900,7.6
2008-10-08,8.00,8.36,7.90,8.15,4012100,7.9
2008-10-07,8.05,8.39,7.78,8.20,7769800,8.0
2008-10-06,8.84,8.99,8.36,8.36,13532900,8.1
2008-09-26,8.80,9.38,8.60,9.29,13730700,9.0
2008-09-25,8.40,8.94,8.31,8.73,10878900,8.5
2008-09-24,8.32,8.50,7.99,8.47,10677600,8.2
2008-09-23,8.73,9.48,8.54,8.61,10767600,8.4
2008-09-22,8.70,9.14,8.48,9.14,16798300,8.9
2008-09-19,8.29,8.31,8.00,8.31,5018100,8.1
2008-09-18,7.81,7.81,7.11,7.55,5648100,7.3
